年月,地域,売上高,利益,取引件数,新規顧客数
2025-01,東京,48500000,9700000,312,28
2025-01,大阪,31200000,5930000,198,19
2025-01,名古屋,22800000,4100000,145,14
2025-01,福岡,15600000,2810000,102,11
2025-01,札幌,11400000,1940000,78,8
2025-02,東京,45200000,8590000,289,25
2025-02,大阪,29800000,5660000,186,17
2025-02,名古屋,21500000,3870000,138,12
2025-02,福岡,14200000,2420000,94,9
2025-02,札幌,10800000,1730000,71,7
2025-03,東京,62300000,13680000,385,42
2025-03,大阪,41500000,8710000,256,31
2025-03,名古屋,30200000,6040000,192,22
2025-03,福岡,20100000,3820000,134,16
2025-03,札幌,14500000,2470000,96,11
2025-04,東京,51800000,10360000,328,30
2025-04,大阪,33600000,6380000,208,20
2025-04,名古屋,24100000,4340000,152,15
2025-04,福岡,16800000,3020000,110,12
2025-04,札幌,12200000,2070000,82,9
2025-05,東京,49300000,9370000,305,27
2025-05,大阪,32100000,6080000,200,18
2025-05,名古屋,23400000,4210000,148,13
2025-05,福岡,15900000,2700000,105,10
2025-05,札幌,11700000,1990000,76,8
2025-06,東京,46800000,8420000,291,24
2025-06,大阪,30500000,5490000,190,16
2025-06,名古屋,22100000,3760000,140,11
2025-06,福岡,14800000,2520000,97,9
2025-06,札幌,10500000,1580000,68,6
2025-07,東京,44100000,7940000,274,22
2025-07,大阪,28700000,5170000,178,15
2025-07,名古屋,20800000,3540000,132,10
2025-07,福岡,13900000,2360000,91,8
2025-07,札幌,9800000,1370000,63,5
2025-08,東京,42500000,7230000,262,20
2025-08,大阪,27400000,4660000,170,13
2025-08,名古屋,19600000,3140000,124,9
2025-08,福岡,13200000,2110000,86,7
2025-08,札幌,12300000,2090000,82,9
2025-09,東京,53600000,11260000,338,34
2025-09,大阪,35200000,7040000,218,23
2025-09,名古屋,25800000,4900000,162,17
2025-09,福岡,17500000,3330000,115,13
2025-09,札幌,12900000,2190000,85,10
2025-10,東京,56200000,11800000,352,37
2025-10,大阪,37100000,7790000,232,25
2025-10,名古屋,27200000,5170000,172,19
2025-10,福岡,18600000,3530000,122,14
2025-10,札幌,13500000,2300000,89,10
2025-11,東京,58900000,12360000,368,39
2025-11,大阪,38800000,8150000,244,27
2025-11,名古屋,28500000,5420000,180,20
2025-11,福岡,19400000,3690000,128,15
2025-11,札幌,13900000,2360000,92,11
2025-12,東京,67500000,15530000,421,48
2025-12,大阪,44200000,9720000,278,35
2025-12,名古屋,32500000,6830000,205,25
2025-12,福岡,22300000,4460000,146,18
2025-12,札幌,15800000,2840000,104,13
