タスクID,ストーリー,タスク名,担当者,開始日,終了日,ポイント,ステータス
S12-001,検索機能の改善,検索APIのレスポンス速度改善,鈴木,2026-04-06,2026-04-08,5,完了
S12-002,検索機能の改善,検索結果のページネーション実装,田中,2026-04-06,2026-04-08,3,完了
S12-003,検索機能の改善,検索フィルターUIの追加,高橋,2026-04-07,2026-04-09,3,完了
S12-004,通知機能,WebSocket接続基盤の構築,鈴木,2026-04-09,2026-04-13,8,レビュー中
S12-005,通知機能,通知一覧画面の実装,田中,2026-04-09,2026-04-11,5,レビュー中
S12-006,通知機能,通知設定画面の実装,田中,2026-04-13,2026-04-15,3,進行中
S12-007,通知機能,プッシュ通知のバックエンド実装,鈴木,2026-04-14,2026-04-17,5,進行中
S12-008,ユーザー設定画面,プロフィール編集機能,高橋,2026-04-10,2026-04-14,5,進行中
S12-009,ユーザー設定画面,パスワード変更機能,鈴木,2026-04-14,2026-04-16,3,未着手
S12-010,ユーザー設定画面,アバター画像アップロード,田中,2026-04-15,2026-04-17,5,未着手
S12-011,バグ修正,ログイン画面のバリデーションエラー修正,田中,2026-04-06,2026-04-07,2,完了
S12-012,バグ修正,CSVエクスポートの文字化け対応,鈴木,2026-04-08,2026-04-09,3,完了
S12-013,バグ修正,日付ピッカーのタイムゾーン不具合修正,高橋,2026-04-13,2026-04-14,2,進行中
S12-014,テスト,検索機能のE2Eテスト作成,渡辺,2026-04-10,2026-04-14,5,進行中
S12-015,テスト,通知機能の結合テスト作成,渡辺,2026-04-15,2026-04-17,5,未着手
