日付,商品コード,商品名,数量,単価,合計,備考
2024/04/01,PRD-001,ノートPC ProBook 450,2,198000,396000,法人割引適用
2024-04-03,PRD-002,ワイヤレスマウス MX300 ,５,3500,17500,
2024年4月5日,0003,USBハブ 4ポート,１０,２５００,25000,
2024/04/05,PRD-004,モニターアーム デュアル,3,12800,38400,組立費込み
2024/04/08,PRD-001,ノートPC Probook 450,1,198000,198000,
2024-04-10,PRD005,LANケーブル Cat6 3m,２０,680,13600,
2024/04/10,PRD-006,ヘッドセット H540,8,7800,62400,テレワーク用
2024年4月12日,PRD-007,外付けSSD 1TB ,4,11200,44800,バックアップ用
2024/04/15,PRD-008,Webカメラ C920s,６,9800,58800,
2024/04/15,PRD-008,Webカメラ C920s,６,9800,58800,
2024-04-17,0009,デスクライト LED,3,4500,13500,
2024/04/18,PRD-010,キーボード K380 ,１２,4980,59760,部門一括購入
2024年4月20日,PRD-002,ワイヤレスマウス　MX300,8,3500,28000,追加発注
2024/04/22,PRD-011,ノートPCスタンド,５,6800,34000,
2024-04-23,PRD-012,電源タップ 6口,10,2980,29800,
2024/04/25,PRD-003,USBハブ 4ポート ,15,2500,37500,
2024/04/28,PRD-013,プレゼンターリモコン ,2,5400,10800,営業部
2024年5月1日,PRD-014,モバイルバッテリー 20000mAh,７,4200,29400,
2024/05/02,PRD-006,ヘッドセット　Ｈ５４０,3,7800,23400,
2024-05-05,PRD-015,USBメモリ 64GB,２０,1280,25600,
2024/05/07,PRD-001,ノートPC ProBook 450 ,1,198000,198000,保守契約付き
2024/05/08,PRD-010,キーボード K380,4,4980,19920,
2024年5月10日,PRD-007,外付けSSD　1TB,２,11200,22400,
2024/05/12,PRD-016,ディスプレイ 27インチ 4K,３,49800,149400,デザイン部
2024-05-14,PRD-005,LANケーブル Cat6 3m,30,680,20400,フロア増設
2024/05/15,PRD-012,電源タップ 6口,10,2980,29800,
2024/05/15,PRD-012,電源タップ 6口,10,2980,29800,
2024年5月18日,0017,ドッキングステーション ,2,18500,37000,
2024/05/20,PRD-004,モニターアーム　デュアル ,4,12800,51200,
2024-05-22,PRD-018,静音マウスパッド,１５,１２８０,19200,
