用語,読み,説明,カテゴリ
ROI,アールオーアイ,Return on Investmentの略。投資額に対する利益の割合を示す指標。(利益 ÷ 投資額) × 100 で算出する。,会計
NDA,エヌディーエー,Non-Disclosure Agreementの略。取引開始前に締結する秘密保持契約。情報の開示範囲と期間を定める。,法務
KPI,ケーピーアイ,Key Performance Indicatorの略。事業目標の達成度を測る定量的な評価指標。月次・四半期で追跡する。,経営
YoY,ワイオーワイ,Year over Yearの略。前年同期比の増減率。売上やユーザー数の成長トレンドを把握する際に使う。,会計
EBITDA,イービットディーエー,利息・税金・減価償却前利益。本業の収益力を比較する際にキャッシュフロー近似値として参照される。,会計
OKR,オーケーアール,Objectives and Key Resultsの略。定性的な目標と定量的な成果指標を組み合わせた目標管理手法。,経営
MoM,エムオーエム,Month over Monthの略。前月比の増減率。短期の推移分析やレポートで頻出する。,会計
LTV,エルティーブイ,Life Time Valueの略。1顧客が取引期間全体でもたらす累計利益額。SaaSビジネスでは解約率と合わせて管理する。,営業
CAC,シーエーシー,Customer Acquisition Costの略。新規顧客1件を獲得するのにかかったマーケティング・営業コスト。,営業
MRR,エムアールアール,Monthly Recurring Revenueの略。月間経常収益。SaaSビジネスの成長を測る基本指標。,会計
ARR,エーアールアール,Annual Recurring Revenueの略。年間経常収益。MRR × 12で算出し、投資家への報告に使う。,会計
チャーンレート,チャーンレート,解約率。一定期間に解約した顧客数 ÷ 期初の顧客数で算出する。月次で1%未満が健全なSaaSの目安。,営業
SFA,エスエフエー,Sales Force Automationの略。営業活動の記録・分析・予測を支援するツールやシステムの総称。,営業
CRM,シーアールエム,Customer Relationship Managementの略。顧客情報を一元管理し、営業・マーケティング・サポートの効率化を図る手法。,営業
コンプライアンス,コンプライアンス,法令遵守。法律だけでなく社内規程・倫理規範・業界ガイドラインも含めた企業の行動規範の遵守。,法務
内部統制,ナイブトウセイ,事業活動の適正性を確保するための仕組み。J-SOX法により上場企業は整備・運用・評価が義務付けられている。,法務
36協定,サブロクキョウテイ,労使間で締結する時間外労働に関する協定。労働基準法第36条に基づく。上限規制は月45時間・年360時間。,人事
エンゲージメント,エンゲージメント,従業員の組織に対する愛着・貢献意欲の度合い。サーベイで定量的に測定し、離職率低下施策に活用する。,人事
1on1,ワンオンワン,上司と部下が定期的に行う1対1の面談。業務進捗だけでなくキャリア・コンディション面も扱う。,人事
タレントマネジメント,タレントマネジメント,従業員のスキル・経験・志向を可視化し、適材適所の配置や育成計画に活かす人材管理手法。,人事
P/L,ピーエル,Profit and Loss Statementの略。損益計算書。一定期間の収益・費用・利益を一覧化した財務諸表。,会計
B/S,ビーエス,Balance Sheetの略。貸借対照表。特定時点の資産・負債・純資産の状況を示す財務諸表。,会計
PDCA,ピーディーシーエー,Plan-Do-Check-Actの略。計画・実行・評価・改善を繰り返す管理サイクル。業務改善の基本フレームワーク。,経営
BCP,ビーシーピー,Business Continuity Planの略。事業継続計画。災害・障害発生時に業務を維持・復旧するための手順と体制を文書化したもの。,経営
RFP,アールエフピー,Request for Proposalの略。提案依頼書。システム導入や業務委託時にベンダーへ要件・条件を提示し提案を求める書面。,経営
反社チェック,ハンシャチェック,取引先が反社会的勢力と関係がないか確認する審査。契約締結前の実施が法務・コンプライアンス上必須。,法務
インボイス制度,インボイスセイド,適格請求書等保存方式。2023年10月開始。登録番号を記載した適格請求書の発行・保存が仕入税額控除の要件。,会計
電子帳簿保存法,デンシチョウボホゾンホウ,国税関係帳簿・書類の電子保存を認める法律。2024年1月以降、電子取引データの紙保存は原則不可。,法務
MBO,エムビーオー,Management by Objectivesの略。目標管理制度。上司と部下が合意した個人目標の達成度で人事評価する手法。,人事
ROE,アールオーイー,Return on Equityの略。自己資本利益率。株主が投じた資本に対する利益率で、資本効率を測る経営指標。,会計
